ind,regdomain,n_counts
0,fineartamerica.com,4403310
1,deviantart.net,569563
4,artprintimages.com,206340
5,artnet.com,137574
14,framedart.com,33889
17,artnet.fr,32393
19,artnet.de,31762
29,artflakes.com,19147
34,saatchiart.com,15129
40,artpal.com,14294
42,artmight.com,14137
46,artstation.com,12988
47,topofart.com,11758
50,urbanloftart.com,10709
56,recyclart.org,9419
61,artistrunwebsite.com,8695
62,soho-art.com,8642
63,artbrokerage.com,8233
67,artzolo.com,7375
72,artfire.com,6391
78,cartoonistgroup.com,5961
81,hollow-art.com,5622
95,mutualart.com,5024
103,ebsqart.com,4635
105,artelino.com,4622
107,arthive.net,4505
114,artgalore.ca,4241
119,comicartfans.com,4054
123,lot-art.com,3880
124,artparks.co.uk,3834
125,canvasgalleryart.com,3801
127,inspireartstudio.com,3792
129,artspace.com,3668
131,artfact.com,3606
134,lib-art.com,3530
135,artisoo.com,3493
136,mesart.com,3486
138,veniceclayartists.com,3447
140,art.com,3410
148,masterart.com,3191
151,absolutearts.com,3158
181,artmag.top,2647
182,artfixdaily.com,2563
186,handmadeartists.com,2517
192,artcld.com,2353
194,artworkmag.com,2347
199,artribune.com,2308
214,artprice.com,2124
216,southwestart.com,2116
238,judaica-art.com,1890
